year,month,TempH,TempL,TempAvg,HumH,HumL,HumAvg,PH,PL,PAvg
2009,9,30,20,24,98,51,86,1012,1003,1008
2009,10,31,15,24,98,19,72,1014,1001,1010
2009,11,30,12,23,100,26,74,1016,1000,1011
2009,12,30,15,22,100,28,67,1017,1007,1012
2010,1,29,12,22,97,20,64,1020,1006,1013
2010,2,35,13,24,95,12,54,1016,1006,1011
2010,3,37,18,27,98,10,52,1016,1001,1010
2010,4,39,18,28,98,10,58,1013,1001,1008
2010,5,38,22,28,96,15,67,1010,999,1005
2010,6,33,21,25,100,39,82,1011,1000,1005
2010,7,35,20,23,100,45,89,1010,1002,1005
2010,8,29,20,23,98,61,87,1010,1002,1006
2010,9,30,19,23,98,54,87,1012,1003,1007
2010,10,30,16,23,100,23,81,1014,1001,1008
2010,11,30,18,23,100,38,81,1014,1004,1009
2010,12,29,11,21,97,24,65,1016,1004,1010
2011,1,31,10,21,96,15,49,1020,1005,1012
2011,2,38,11,23,98,11,51,1015,1003,1010
2011,3,36,16,26,95,7,46,1020,1002,1008
2011,4,36,14,26,95,8,59,1012,1000,1008
2011,5,36,18,26,96,20,69,1011,1001,1007
2011,6,31,20,23,97,55,88,1009,1001,1005
2011,7,28,20,23,100,65,89,1010,1000,1005
2011,8,28,20,23,98,65,90,1009,1001,1006
2011,9,31,17,23,98,43,86,1014,1001,1007
2011,10,31,18,24,100,39,79,1013,1004,1009
2011,11,31,13,23,98,23,64,1015,1005,1011
2011,12,31,11,21,96,16,59,1016,1005,1011
2012,1,32,9,21,98,12,60,1017,1004,1012
2012,2,35,13,24,98,10,45,1016,1002,1010
2012,3,37,10,26,98,8,50,1015,1002,1009
2012,4,37,19,27,98,14,66,1018,999,1007
2012,5,37,17,27,100,14,66,1011,1001,1006
2012,6,34,20,24,95,36,79,1009,1000,1005
2012,7,28,20,23,97,65,88,1009,999,1005
2012,8,30,20,23,100,58,88,1011,1002,1007
2012,9,32,16,23,98,40,86,1013,1003,1008
2012,10,32,14,24,100,21,70,1016,1004,1010
2012,11,31,9,23,98,26,70,1016,1005,1011
2012,12,33,11,23,96,21,62,1016,1005,1011
2013,1,33,10,22,96,13,57,1017,1005,1012
2013,2,34,14,24,96,15,55,1016,1004,1011
2013,3,37,17,26,98,14,51,1014,1002,1009
2013,4,38,16,27,96,10,57,1013,1001,1007
2013,5,37,20,27,96,21,69,1010,1000,1006
2013,6,31,20,23,100,54,87,1010,999,1005
2013,7,27,20,22,98,72,92,1011,1002,1005
2013,8,29,19,22,97,59,89,1012,1002,1007
2013,9,33,18,23,100,48,87,1012,1000,1007
2013,10,31,16,23,98,37,81,1014,1003,1009
2013,11,33,12,22,98,21,67,1015,1001,1011
2013,12,30,9,21,98,17,57,1018,1006,1012
2014,1,31,13,22,96,22,58,1018,1007,1013
2014,2,33,13,23,92,11,55,1016,1002,1010
2014,3,37,13,26,92,13,51,1016,1003,1010
2014,4,37,18,28,98,13,57,1014,1002,1008
2014,5,37,18,26,99,14,70,1012,1001,1007
2014,6,33,20,25,100,48,80,1010,999,1006
2014,7,31,20,23,98,56,89,1010,1002,1006
2014,8,31,20,23,98,52,89,1011,1001,1007
2014,9,31,19,23,98,52,85,1014,1002,1008
2014,10,32,16,24,98,29,77,1015,1002,1010
2014,11,30,12,22,98,29,68,1019,1006,1012
2014,12,30,12,21,98,28,69,1019,1003,1012
