crop,city,low,high,model
Gram,SHAHADA,4100,4830,4662
Gram,DONDAICHA,3500,5851,4652
Gram,MAJALGAON,3200,4161,4100
Gram,SINNER,4350,4531,4475
Gram,RAHURI-VAMBORI,4181,4256,4218
Gram,KALVAN,3500,4200,4100
Gram,PAITHAN,3891,4181,4021
Gram,PACHORA,3100,3891,3511
Gram,UDGIR,4100,4450,4275
Gram,BHOKAR,4075,4153,4114
Gram,HINGOLI,4095,4356,4225
Gram,KARANJA,4060,4265,4150
Gram,MORSHI,3800,4000,3900
Gram,RAHATA,4000,4000,4000
Gram,JALGAON,5500,5500,5500
Gram,CHOPDA,4400,4772,4651
Gram,AKOLA,3850,4300,4075
Gram,JALGAON,4000,4075,4000
Gram,CHOPDA,3850,4340,4241
Gram,CHIKHALI,4100,4325,4210
Gram,PANDHARPUR,4100,4100,4100
Gram,WASHIM,4000,4400,4300
Gram,DHAMANGAON-RLY,4000,4310,4200
Gram,AMALNER,4102,4140,4140
Gram,PACHORA,4100,4211,4151
Gram,MALKAPUR,3550,4310,4235
Gram,DIGRAS,4100,4225,4195
Gram,AURANGABAD,2800,3550,3175
Gram,UMARGA,3500,4035,4000
Gram,SONPETH,4000,4122,4061
Gram,DHULE,2000,4300,4170
Gram,CHOPDA,5200,5572,5456
Gram,JALNA,5000,5576,5300
Gram,JALGAON,4000,4630,4300
Gram,CHOPDA,5661,5800,5781
Gram,TULJAPUR,4175,4300,4280
Gram,LATUR,4265,4400,4320
Gram,JALGAON,5000,5000,5000
Gram,PAVANI,4000,4000,4000
Gram,BEED,3980,4200,4100
Gram,SANGAMNER,4031,4391,4211
Gram,HINGOLI-KANEGAON NAKA,4000,4100,4050
Gram,JINTUR,4100,4240,4200
Gram,SHEVGAON,3500,4100,4100
Gram,DOUND-YAWAT,3000,4000,3900
Gram,KALAMB (Os),3300,4322,4250
Gram,MURUM,4081,4155,4118
Gram,ASHTI-KARANJA,4000,4165,4100
Gram,BORI,4205,4215,4215
Gram,JALNA,3300,4400,4100
Gram,AMARAWATI,4000,4275,4137
Gram,LASALGAON,3251,4347,4141
Gram,LASALGAON-VINCHUR,4127,4330,4251
Gram,YEOTMAL,3920,4345,4135
Gram,ARVI,4100,4315,4200
Gram,WARDHA,4070,4205,4115
Gram,MURTIZAPUR,4250,4370,4300
Gram,VANI,4045,4100,4050
Gram,KOPARGAON,3400,4376,4281
Gram,GEVRAI,3400,4346,3873
Gram,PARTUR,4100,4162,4150
Gram,DEULGAON RAJA,2700,4200,4000
Gram,NANDGAON,3503,4285,4250
Gram,KILLE DHARUR,3500,3990,3601
Gram,SENGAON,4000,4150,4025
Gram,MAHAGAON,4650,4700,4650
Gram,KATOL,3950,4271,4045
Gram,PULGAON,4151,4190,4170
Gram,SINDI,3950,4215,4105
Gram,SINDI (SELU),4000,4255,4100
Gram,DEVALA,3600,4400,4000
Gram,DUDHANI,4005,4340,4300
Gram,AKOLA,4150,5300,4800
Gram,GANGAKHED,4500,4600,4550
Moong(Green Gram),AMARAWATI,4700,5300,5000
Moong(Green Gram),LATUR,4000,5200,4700
Moong(Green Gram),AKOLA,4000,5500,4800
Moong(Green Gram),DHULE,4330,4330,4330
Moong(Green Gram),CHIKHALI,4600,4801,4700
Rice,BHOKAR,1871,1871,1871
Rice,BHIVANDI,1880,2450,2150
Rice,VASAI,2760,4920,3450
Rice,MUMBAI,9500,12500,11000
Rice,ULHASNAGAR,5000,7000,6000
Rice,NAGPUR,4500,5000,4875
Rice,ALIBAG,4000,4500,4200
Rice,MURUD,4000,4500,4200
Rice,MUMBAI,2300,6500,4500
Rice,ULHASNAGAR,2500,4500,3500
Rice,NAGPUR,2200,2400,2350
Rice,SOLAPUR,2310,5800,3425
Rice,PEN,3550,6500,4090
Rice,MANGAON(BHADAV),2000,4000,3500
Arhar/Tur,RAHURI-VAMBORI,4852,4852,4852
Arhar/Tur,PAITHAN,4900,4900,4900
Arhar/Tur,UDGIR,5400,5450,5425
Arhar/Tur,BHOKAR,4600,5111,4855
